source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-03,1603,deal_hunter,pregnant,22,card,19145.02972086931,19145.02972086931,19256.206300650436,0.0,111.17657978112851,111.17657978112766,13,0,,,22,4451,,REG-3,regular,pregnant,29.861118662014213,served,,,0
Week-01-Day-03,1616,express_basket,no_priority,9,card,19213.875900453168,19213.875900453168,19263.24793126454,0.0,49.37203081137343,49.372030811373406,13,0,,,9,2286,,REG-8,regular,no_priority,148.51241147213327,served,,,0
Week-01-Day-03,1610,deal_hunter,no_priority,6,cash,19186.087900015373,19186.087900015373,19263.279197363223,0.0,77.19129734784944,77.1912973478502,13,0,,,6,414,,REG-14,regular,no_priority,126.04114048852438,served,,,0
Week-01-Day-03,1600,deal_hunter,senior,10,cash,19117.001810479196,19117.001810479196,19265.295102111908,0.0,148.2932916327104,148.29329163271177,13,0,,,10,1361,,REG-4,regular,senior,329.62880323408797,served,,,0
Week-01-Day-03,1602,regular,no_priority,38,card,19125.052644361036,19125.052644361036,19278.31707273722,0.0,153.26442837618515,153.2644283761838,13,0,,,38,7809,,REG-7,regular,no_priority,36.84815105959433,served,,,0
Week-01-Day-03,1614,deal_hunter,no_priority,5,card,19207.330388136375,19207.330388136375,19279.630928906154,0.0,72.30054076977935,72.30054076977831,13,0,,,5,1283,,EXP-1,express,no_priority,406.0157673349301,served,,,0
Week-01-Day-03,1557,family_cart,pregnant,61,card,18839.36405003177,18912.649926165035,19283.694433235414,73.28587613326454,371.0445070703773,444.3303832036436,13,0,,,61,13645,,REG-10,regular,pregnant,283.5180108776194,served,,,1
Week-01-Day-03,1506,family_cart,no_priority,144,card,18560.735070724717,18560.735070724717,19286.503638282054,0.0,725.7685675573388,725.7685675573375,13,0,,,144,28943,,PRI-2,priority,no_priority,273.14413009005466,served,,,0
Week-01-Day-03,1618,self_checkout_fan,senior,6,card,19225.889246286148,19225.889246286148,19294.45907373531,0.0,68.56982744916291,68.5698274491624,13,0,,,6,2399,,SCO-2,sco,senior,752.5943029767907,served,,,0
Week-01-Day-03,1626,express_basket,no_priority,4,card,19263.920174659746,19263.920174659746,19301.816417812795,0.0,37.896243153049966,37.896243153049,13,0,,,4,144,,REG-14,regular,no_priority,721.777904943546,served,,,0
Week-01-Day-03,1627,express_basket,no_priority,2,card,19267.812320480654,19267.812320480654,19303.612262134422,0.0,35.79994165376951,35.799941653767746,13,0,,,2,859,,REG-4,regular,no_priority,6.969429711535134,served,,,0
Week-01-Day-03,1620,express_basket,no_priority,14,card,19232.233076816476,19232.233076816476,19315.295248796247,0.0,83.06217197977199,83.06217197977094,13,0,,,14,3210,,SCO-3,sco,no_priority,117.76407568257837,served,,,0
Week-01-Day-03,1604,self_checkout_fan,no_priority,15,card,19153.110527906,19153.110527906,19334.705314127343,0.0,181.5947862213432,181.59478622134338,13,0,,,15,1642,,REG-11,regular,no_priority,450.78801722968933,served,,,0
Week-01-Day-03,1599,self_checkout_fan,no_priority,20,cash,19096.956510800235,19096.956510800235,19338.554738483846,0.0,241.59822768361275,241.59822768361119,13,0,,,20,5385,,PRI-1,priority,no_priority,319.49030155526435,served,,,0
Week-01-Day-03,1629,deal_hunter,no_priority,8,cash,19277.323306913277,19277.323306913277,19343.807491195428,0.0,66.48418428215226,66.48418428215155,13,0,,,8,200,,EXP-2,express,no_priority,17.334421272580222,served,,,0
Week-01-Day-03,1608,regular,no_priority,33,card,19177.985772322267,19217.386661077275,19350.01142997806,39.400888755008054,132.62476890078756,172.02565765579493,13,0,,,33,5485,,REG-13,regular,no_priority,1208.349536883,served,,,1
Week-01-Day-03,1566,family_cart,no_priority,77,cash,18891.193917882883,18966.853957266103,19351.370065418396,75.66003938321956,384.5161081522918,460.1761475355124,13,0,,,77,19626,,REG-5,regular,no_priority,1133.6579653547356,served,,,1
Week-01-Day-03,1633,express_basket,pregnant,20,card,19314.33905278014,19314.33905278014,19355.100607748103,0.0,40.76155496796553,40.76155496796491,13,0,,,20,5289,,REG-14,regular,pregnant,726.7546853445511,served,,,0
Week-01-Day-03,1617,express_basket,no_priority,14,card,19218.700316086324,19218.700316086324,19358.633876152406,0.0,139.93356006608198,139.93356006608155,13,0,,,14,4426,,SCO-1,sco,no_priority,42.14464938157138,served,,,0
Week-01-Day-03,1632,self_checkout_fan,no_priority,6,card,19306.890442231175,19306.890442231175,19366.187500222233,0.0,59.2970579910593,59.297057991057954,13,0,,,6,576,,REG-10,regular,no_priority,816.6569170009822,served,,,0
Week-01-Day-03,1637,express_basket,no_priority,6,card,19347.707077100393,19347.707077100393,19391.234543556366,0.0,43.52746645597429,43.5274664559729,13,0,,,6,638,,EXP-1,express,no_priority,1.3337270663947705,served,,,0
Week-01-Day-03,1624,regular,no_priority,28,card,19262.778267035334,19262.778267035334,19404.523005055144,0.0,141.7447380198087,141.74473801981003,13,0,,,28,3007,,REG-6,regular,no_priority,1573.5521281145332,served,,,0
Week-01-Day-03,1625,express_basket,no_priority,15,cash,19263.452938009257,19263.452938009257,19406.23167505395,0.0,142.77873704469155,142.77873704469312,13,0,,,15,3672,,REG-8,regular,no_priority,177.22677045789197,served,,,0
Week-01-Day-03,1645,express_basket,no_priority,7,card,19372.509315624702,19372.509315624702,19416.68928693791,0.0,44.17997131320787,44.179971313209535,13,0,,,7,2442,,SCO-2,sco,no_priority,240.3005977405776,served,,,0
Week-01-Day-03,1647,express_basket,no_priority,1,card,19397.05948615804,19397.05948615804,19420.755057315433,0.0,23.69557115739278,23.695571157393715,13,0,,,1,1035,,EXP-1,express,no_priority,260.641187806586,served,,,0
Week-01-Day-03,1635,express_basket,senior,18,card,19321.076315052836,19334.705314127343,19423.62671908319,13.628999074506282,88.92140495584829,102.55040403035309,13,0,,,18,3526,,REG-11,regular,senior,399.7000117007205,served,,,1
Week-01-Day-03,1644,self_checkout_fan,no_priority,5,card,19372.0339345545,19372.0339345545,19424.956968639297,0.0,52.923034084796456,52.92303408479711,13,0,,,5,864,,EXP-3,express,no_priority,1032.1917853638208,served,,,0
Week-01-Day-03,1640,self_checkout_fan,no_priority,8,card,19361.050025144017,19361.050025144017,19427.745404570313,0.0,66.69537942629628,66.6953794262954,13,0,,,8,1879,,EXP-2,express,no_priority,355.9795277136515,served,,,0
Week-01-Day-03,1643,express_basket,no_priority,14,card,19369.5426369278,19369.5426369278,19433.954978561316,0.0,64.41234163351616,64.41234163351692,13,0,,,14,2576,,SCO-1,sco,no_priority,82.97738025191087,served,,,0
Week-01-Day-03,1642,deal_hunter,no_priority,15,card,19367.480178523343,19367.480178523343,19437.859083197596,0.0,70.37890467425387,70.37890467425314,13,0,,,15,2637,,REG-10,regular,no_priority,3.847423953383249,served,,,0
Week-01-Day-03,1646,express_basket,no_priority,2,card,19374.970605671842,19374.970605671842,19438.134227733877,0.0,63.163622062035046,63.16362206203485,13,0,,,2,0,,SCO-3,sco,no_priority,134.582501397045,served,,,0
Week-01-Day-03,1631,regular,no_priority,35,card,19288.74876291596,19288.74876291596,19438.238281454775,0.0,149.489518538815,149.4895185388159,13,0,,,35,7227,,REG-7,regular,no_priority,190.09536946755338,served,,,0
Week-01-Day-03,1581,family_cart,no_priority,112,card,18969.460190308237,19133.143498780057,19463.1177409667,163.68330847182006,329.97424218664366,493.65755065846315,13,0,,,112,23041,,REG-1,regular,no_priority,327.2649083290576,served,,,1
Week-01-Day-03,1649,express_basket,no_priority,2,card,19408.53883657851,19408.53883657851,19463.35093018778,0.0,54.81209360926776,54.81209360926732,13,0,,,2,1629,,REG-6,regular,no_priority,97.29001644511848,served,,,0
Week-01-Day-03,1639,deal_hunter,no_priority,10,card,19357.50797676851,19357.50797676851,19468.18265297283,0.0,110.67467620432187,110.67467620432217,13,0,,,10,900,,REG-14,regular,no_priority,240.11084749276682,served,,,0
Week-01-Day-03,1650,express_basket,pregnant,10,card,19411.908510733578,19411.908510733578,19474.182659832924,0.0,62.274149099345095,62.27414909934669,13,0,,,10,1607,,REG-8,regular,pregnant,112.37006383656274,served,,,0
Week-01-Day-03,1578,weekly_planner,no_priority,74,cash,18958.862152664296,18958.862152664296,19476.074189638464,0.0,517.212036974169,517.2120369741679,13,0,,,74,13910,,REG-15,regular,no_priority,1253.2935871690447,served,,,0
