scenario,2026,2027,2028,2029,2030
E 22,1.0229901939416715,1.0350830520810834,1.0467032112759875,1.054643180298146,1.0738267235508827
E 23,1.002911432882298,1.0073570748120872,1.0210961487611712,1.014951657625855,1.021205400811745
E 24,0.9947699136888082,1.0070905021201328,1.0222277114362048,1.044058150111746,1.0526272242866874
E 25,1.0052611780849876,1.0283419901922346,1.016641181673633,1.0179461494075084,1.0356247927392055
E 26,1.0105522328712846,1.0098053084807368,1.0149138811426892,1.0330302426992257,1.048186220555727
E 27,1.0129379105323864,1.0136307250054697,1.0237597797654323,1.031265569135931,1.033556125616719
E 28,1.0103683722279178,1.016336547831214,1.02895922804598,1.0432232862455748,1.0584705840648034
E 29,1.010231019955112,1.0218588025102153,1.0233961038545438,1.0326048992898225,1.0523110077390294
E 30,1.009977935790726,1.0182263999614183,1.0103812090556585,0.9979063564760131,1.0040924085637912
E 31,1.0127240700527935,1.022617917744699,1.0077043955896157,1.0180470891041997,1.0284410391630325
E 32,1.0111114866137754,1.025279650449843,1.0198816470565597,1.019568051186488,1.0298003693179434
E 33,1.0091188653095877,1.0193402531903781,1.0337755029140043,1.041757478160771,1.0561637873139145
E 34,0.9826627964943172,0.9690105480043628,0.9845432292064348,0.9736531046055944,0.9876556084240228
E 35,0.9993419053936891,1.0207018644885582,1.0259465145750897,1.0312416855043605,1.046603756316157
E 36,1.0078778216977884,1.019211022835233,1.0301590070264124,1.0353985428778383,1.0488044808347112
E 37,0.9974787253918243,1.010548842912916,1.0072256656403318,1.0158014733381762,1.0316458284203214
E 38,0.9964460548826103,1.0058063252163323,1.0150397528744708,1.0287058311176704,1.010077416862772
E 39,1.0050039029674607,1.0154603018419694,1.0343120083042276,1.053378919468232,1.0544028079953784
E 40,1.0036649986963802,1.0222026359216838,1.0307842187002612,1.030368630027611,1.0447114886915505
E 41,0.9973650654471876,1.0023650122696837,1.0056299248458722,1.0151964224430077,1.0256902853856291
E 42,1.0072113321407323,1.0266489284358997,1.0121005748196645,1.0322369477203517,1.042957224877795
E 43,1.013643707579847,1.0111794925562119,1.021077236349213,1.0340427396082983,1.0508313971926775
E 44,1.008693576843257,0.9957895724409983,1.0174119488650024,1.0164680592401911,1.0159186207865631
E 45,0.9991140316319498,0.98911024600062,0.9954300534321031,0.9790530827988395,0.9831471310464744
E 46,1.009531243624672,1.0091976027399492,1.0172876657772467,1.02644885593975,1.0380130616578684
E 47,1.0048899999059975,1.0233215548225887,1.0281008796282844,1.0341808106351784,1.036957662139186
E 48,1.013247578603787,1.0105735677929153,1.0026949010005621,1.0190170217682106,1.0239642163475728
E 49,1.0114073223236497,1.0269202829838966,1.0391906488785543,1.0479877721480775,1.0592235416612974
E 50,1.0125765734650936,1.0150113722395078,1.019042956412711,1.0219071501018722,1.0237652111638387
E 51,1.0227124359908133,1.0301489329454983,1.03941382336968,1.0402966245377319,1.0565809402055772
E 52,1.0090195269048865,1.0201368731375926,1.032059475138214,1.0421653402517128,1.043121354456293
E 53,1.0174090235700257,1.0199419118007944,1.0257552426796415,1.0238818695301195,1.041701311843859
E 54,1.0099383665899189,0.9957280459864105,1.0015236619904455,1.0021490569176643,1.0191978159193353
E 55,1.0141307475016108,1.014873126816015,1.0198374622008113,1.0284963080316605,1.030309754795247
E 56,1.0105190312130694,1.0137462713795238,1.0168140728674755,1.0249260982940829,1.0299427939817525
E 57,1.0001701502243252,1.0006728831489453,1.0170970982088203,1.0413903275200858,1.0570674823272281
E 58,1.0082700480726061,1.0031249067716939,1.0261650089915615,1.0213119196329277,1.0283796472546527
E 59,0.9993496901352924,1.0072701984611858,1.0000244079520386,1.016470301949091,1.0250589105668417
E 60,1.0158727356106516,1.0013365443503948,1.0141595430267705,1.0152187017401293,1.0222660653104205
E 61,1.0097474886973221,0.9986449757976259,1.008163136395295,1.0226962632380439,1.0340418388979375
E 62,1.0077247344708788,0.9934481539685927,0.9948041329171902,1.0085049768513703,0.9996765814434441
E 63,1.0115498420406108,1.009886917646228,1.0145411919941267,1.0277966945030437,1.0145196823139624
E 64,1.0127341611981506,1.0045266235239199,1.0200468757857606,1.0162837279474288,1.0339063921927738
E 65,1.0106689241327576,1.013662739847557,1.0263281752627587,1.0262913486487524,1.0259828800522488
E 66,1.012150738449153,1.025884362579733,1.0456576370300812,1.065316123634672,1.0639458073803842
E 67,1.0129546844387836,1.029555115467389,1.0212780489179392,1.0197960294120492,1.0163042005066378
E 68,1.0168552943371596,1.0406716323642158,1.0306430085557365,1.0450857578040464,1.0540644412434743
E 69,1.011148500000039,1.028204194547871,1.042618714049051,1.0406766369126548,1.0464150827129488
E 70,0.9925254108219274,0.9991668769948967,1.0068912385722746,1.018266157336258,1.0182580583075667
E 71,0.9997359009278641,1.0132095222036768,1.0146980805873047,1.0148202021532773,1.0220979970346034
E 72,1.0101247310973085,0.9974667500720792,1.0186005265038127,1.040980068713028,1.0593429221112578
E 73,1.011477584988411,1.0273718346395933,1.0385681091941452,1.0226263014423616,1.0331991348204541
E 74,0.9851843369722878,0.9760354175017484,0.986940586991867,0.9789029719021157,0.9947947898297665
E 75,0.9840609673978281,0.9967894720507282,0.9999654211526242,1.0106642664288346,1.0295678051390906
E 76,1.0103863645914621,1.0101603329558608,1.0191011866518642,1.0375230946269747,1.0475494579168154
