scenario,2026,2027,2028,2029,2030,score,segment
E 39,1.005003902967461,1.0154603018419694,1.0343120083042276,1.053378919468232,1.0544028079953784,1.0323208247812592,optimista
E 40,1.0036649986963802,1.0222026359216838,1.0307842187002612,1.030368630027611,1.0447114886915505,1.0262578851891755,regular
E 41,0.9973650654471876,1.0023650122696837,1.0056299248458722,1.0151964224430077,1.0256902853856291,1.009199233725942,regular
E 42,1.0072113321407323,1.0266489284358995,1.0121005748196643,1.0322369477203517,1.042957224877795,1.0241473038446813,regular
E 43,1.013643707579847,1.011179492556212,1.021077236349213,1.0340427396082983,1.0508313971926777,1.026050511558831,regular
E 44,1.008693576843257,0.9957895724409984,1.0174119488650024,1.0164680592401911,1.0159186207865631,1.0108233464582879,regular
E 45,0.9991140316319498,0.98911024600062,0.9954300534321032,0.9790530827988396,0.9831471310464744,0.9891429332249216,pesimista
E 46,1.009531243624672,1.0091976027399492,1.0172876657772467,1.02644885593975,1.0380130616578684,1.0200371222941442,regular
E 47,1.0048899999059977,1.023321554822589,1.0281008796282844,1.0341808106351784,1.036957662139186,1.02542706376061,regular
E 48,1.013247578603787,1.0105735677929153,1.002694901000562,1.0190170217682106,1.0239642163475728,1.0138733482172215,regular
E 49,1.0114073223236495,1.0269202829838966,1.0391906488785545,1.0479877721480777,1.0592235416612974,1.036812869020594,optimista
E 50,1.0125765734650936,1.0150113722395078,1.019042956412711,1.0219071501018722,1.023765211163839,1.0184521190132734,regular
E 51,1.0227124359908133,1.0301489329454985,1.03941382336968,1.040296624537732,1.0565809402055772,1.0377683006534033,optimista
E 52,1.0090195269048865,1.0201368731375926,1.032059475138214,1.0421653402517128,1.043121354456293,1.0292167386302726,optimista
E 53,1.0174090235700255,1.0199419118007944,1.0257552426796417,1.0238818695301195,1.041701311843859,1.0257028601326275,regular
E 54,1.0099383665899189,0.9957280459864104,1.0015236619904455,1.0021490569176643,1.0191978159193351,1.0056747039222946,regular
E 55,1.0141307475016108,1.014873126816015,1.0198374622008113,1.0284963080316605,1.030309754795247,1.021507224759202,regular
E 56,1.0105190312130694,1.0137462713795238,1.0168140728674755,1.0249260982940829,1.0299427939817525,1.0191642803462062,regular
E 57,1.0001701502243252,1.000672883148945,1.0170970982088203,1.0413903275200858,1.057067482327228,1.0230313385023646,regular
E 58,1.008270048072606,1.003124906771694,1.0261650089915615,1.0213119196329277,1.0283796472546527,1.017401072210084,regular
E 59,0.9993496901352924,1.0072701984611858,1.0000244079520386,1.016470301949091,1.0250589105668415,1.0095864598447954,regular
E 60,1.0158727356106516,1.0013365443503948,1.0141595430267705,1.0152187017401293,1.0222660653104203,1.0137476052470864,regular
E 61,1.009747488697322,0.998644975797626,1.008163136395295,1.022696263238044,1.0340418388979375,1.0145837434403526,regular
E 62,1.0077247344708788,0.9934481539685928,0.9948041329171902,1.0085049768513703,0.999676581443444,1.0008118849568206,pesimista
E 63,1.0115498420406108,1.009886917646228,1.0145411919941267,1.0277966945030437,1.0145196823139624,1.0156392644002763,regular
E 64,1.0127341611981506,1.00452662352392,1.0200468757857606,1.0162837279474288,1.0339063921927738,1.0174536795968985,regular
E 65,1.0106689241327576,1.013662739847557,1.0263281752627589,1.0262913486487524,1.0259828800522488,1.0205631565300768,regular
E 66,1.012150738449153,1.025884362579733,1.0456576370300812,1.065316123634672,1.0639458073803842,1.0423803732036705,optimista
E 67,1.0129546844387836,1.029555115467389,1.0212780489179392,1.0197960294120492,1.0163042005066378,1.0199623256676436,regular
E 68,1.0168552943371596,1.0406716323642158,1.0306430085557363,1.0450857578040464,1.0540644412434743,1.0373851928884725,optimista
E 69,1.011148500000039,1.028204194547871,1.042618714049051,1.0406766369126548,1.0464150827129488,1.0337319155321236,optimista
E 70,0.9925254108219274,0.9991668769948968,1.0068912385722746,1.018266157336258,1.0182580583075669,1.0069694110764869,regular
E 71,0.999735900927864,1.0132095222036768,1.0146980805873047,1.0148202021532773,1.0220979970346034,1.012886088157062,regular
E 72,1.0101247310973085,0.9974667500720792,1.0186005265038127,1.040980068713028,1.0593429221112578,1.0250646629368376,regular
E 73,1.011477584988411,1.0273718346395933,1.0385681091941452,1.0226263014423616,1.033199134820454,1.0266064266799304,regular
E 74,0.9851843369722878,0.9760354175017484,0.986940586991867,0.9789029719021156,0.9947947898297664,0.9843497760507676,pesimista
E 75,0.984060967397828,0.9967894720507282,0.9999654211526242,1.0106642664288346,1.0295678051390906,1.0040942013191494,pesimista
E 76,1.010386364591462,1.0101603329558608,1.0191011866518642,1.037523094626975,1.0475494579168154,1.0248338951177076,regular
E 77,1.0092974203475766,1.014729445889875,1.0012049656198287,1.0210181236035896,1.03109007534822,1.0154171537422234,regular
E 78,0.990331810234194,1.0024024823578128,1.0145464236187467,1.0187450180034674,1.0307476691138613,1.01125930146925,regular
E 79,0.9958854949580198,0.9990176477363462,1.0122476566737777,1.0198304038999908,1.0389894215326678,1.013075203877322,regular
E 80,0.986102903876206,0.9919937378152248,1.000120464054386,1.0009141825825856,0.9864695496546272,0.9930995882303307,pesimista
E 81,0.996370667989704,1.0060639331823935,1.0029834115760523,0.9992112337496192,1.002160340760255,1.0013524318401725,pesimista
E 82,0.9974542874902284,1.0130492099529351,1.0097936930790712,1.015182727508144,1.0010226533403728,1.0072768775389944,regular
E 83,1.00133525005874,1.0141956410264965,1.0306105910896668,1.032231746374675,1.0455869345465203,1.024676181143057,regular
E 84,1.0040363076638257,0.9970403030246524,0.999607970723584,1.0005624936549415,0.99288506138985,0.9988194887470576,pesimista
E 85,0.9953262256695204,1.010504870376023,1.0099835157964292,1.0206885500654963,1.036831505329558,1.0145744340058525,regular
E 86,0.9828261023813004,0.984368525801489,0.9697445967234428,0.969989952301206,0.9872997240460816,0.978817226887822,pesimista
E 87,1.00956495358447,1.0136053056703909,1.0319948138577255,1.0225115137195548,1.0371920118063775,1.0229198475276977,regular
E 88,1.0064167600578464,1.0262637914740729,1.0338876548852756,1.034699331653827,1.034159845978792,1.027028301003583,optimista
E 89,0.9968720996584768,1.0026037435945037,1.0201438150963735,1.0237907412645184,1.015148327424434,1.0116590547785071,regular
E 90,1.017060796017646,1.024208965741412,1.0232153416240788,1.0219815068716955,1.017387417510831,1.0207664465401267,regular
