year,segment,day_type,demand_factor,regular,express,priority,self_checkout,total_lanes,profit_mean,profit_std,objetivo_mean,objetivo_std,infra_cost_clp,objective_minus_profit_gap,n_rep,base_profit_mean,base_profit_std,base_objetivo_mean,base_objetivo_std,base_n_rep,objetivo_delta_vs_base,profit_delta_vs_base,year_num
2027,regular,TYPE_1,1.0104340420447726,10,3,2,5,20,4156308086.6666665,15757587.180099538,3645997486.6666665,15757587.180099538,510310600.0,0.0,3,4156308086.6666665,15757587.180099538,3645997486.6666665,15757587.180099538,3,0.0,0.0,2027
2027,regular,TYPE_2,1.0104340420447726,10,3,2,5,20,2932368937.3333335,956458.6401205926,2422058337.3333335,956458.6401205926,510310600.0,0.0,3,2932368937.3333335,956458.6401205926,2422058337.3333335,956458.6401205926,3,0.0,0.0,2027
2027,regular,TYPE_3,1.0104340420447726,15,3,2,5,25,2058081584.0,12527856.776204938,1410575984.0,12527856.776204938,647505600.0,0.0,3,2058081584.0,12527856.776204938,1410575984.0,12527856.776204938,3,0.0,0.0,2027
2028,optimista,TYPE_1,1.0361424185725239,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2028
2028,optimista,TYPE_2,1.0361424185725239,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2028
2028,optimista,TYPE_3,1.0361424185725239,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2028
2028,pesimista,TYPE_1,0.9948514049827984,10,3,2,5,20,4175725718.6666665,39532652.64416246,3665415118.6666665,39532652.64416246,510310600.0,0.0,3,4175725718.6666665,39532652.64416246,3665415118.6666665,39532652.64416246,3,0.0,0.0,2028
2028,pesimista,TYPE_2,0.9948514049827984,10,3,2,5,20,2938943366.6666665,26387808.20305933,2428632766.6666665,26387808.20305933,510310600.0,0.0,3,2938943366.6666665,26387808.20305933,2428632766.6666665,26387808.20305933,3,0.0,0.0,2028
2028,pesimista,TYPE_3,0.9948514049827984,15,3,2,5,25,2051974964.0,17939759.055100825,1404469364.0,17939759.055100825,647505600.0,0.0,3,2051974964.0,17939759.055100825,1404469364.0,17939759.055100825,3,0.0,0.0,2028
2028,regular,TYPE_1,1.016023295833351,10,3,2,5,20,4187911485.3333335,50520706.68593405,3677600885.3333335,50520706.68593405,510310600.0,0.0,3,4187911485.3333335,50520706.68593405,3677600885.3333335,50520706.68593405,3,0.0,0.0,2028
2028,regular,TYPE_2,1.016023295833351,10,3,2,5,20,2947921808.0,38721311.206027925,2437611208.0,38721311.206027925,510310600.0,0.0,3,2947921808.0,38721311.206027925,2437611208.0,38721311.206027925,3,0.0,0.0,2028
2028,regular,TYPE_3,1.016023295833351,15,3,2,5,25,2036979082.6666667,17330449.693848033,1389473482.6666667,17330449.693848033,647505600.0,0.0,3,2036979082.6666667,17330449.693848033,1389473482.6666667,17330449.693848033,3,0.0,0.0,2028
2029,optimista,TYPE_1,1.0463799499804394,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2029
2029,optimista,TYPE_2,1.0463799499804394,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2029
2029,optimista,TYPE_3,1.0463799499804394,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2029
2029,pesimista,TYPE_1,0.9957858708327407,10,3,2,5,20,4179649708.0,15087925.445468506,3669339108.0,15087925.445468506,510310600.0,0.0,3,4179649708.0,15087925.445468506,3669339108.0,15087925.445468506,3,0.0,0.0,2029
2029,pesimista,TYPE_2,0.9957858708327407,10,3,2,5,20,2921202405.3333335,22810111.530822933,2410891805.3333335,22810111.530822933,510310600.0,0.0,3,2921202405.3333335,22810111.530822933,2410891805.3333335,22810111.530822933,3,0.0,0.0,2029
2029,pesimista,TYPE_3,0.9957858708327407,15,3,2,5,25,2066765601.3333333,17386114.370893266,1419260001.3333333,17386114.370893266,647505600.0,0.0,3,2066765601.3333333,17386114.370893266,1419260001.3333333,17386114.370893266,3,0.0,0.0,2029
2029,regular,TYPE_1,1.0213195738862437,10,3,2,5,20,4154958270.6666665,24684168.820431393,3644647670.6666665,24684168.820431393,510310600.0,0.0,3,4154958270.6666665,24684168.820431393,3644647670.6666665,24684168.820431393,3,0.0,0.0,2029
2029,regular,TYPE_2,1.0213195738862437,10,3,2,5,20,2934617157.3333335,27766599.295999162,2424306557.3333335,27766599.295999162,510310600.0,0.0,3,2934617157.3333335,27766599.295999162,2424306557.3333335,27766599.295999162,3,0.0,0.0,2029
2029,regular,TYPE_3,1.0213195738862437,15,3,2,5,25,2043748321.3333333,22399120.874131586,1396242721.3333333,22399120.874131586,647505600.0,0.0,3,2043748321.3333333,22399120.874131586,1396242721.3333333,22399120.874131586,3,0.0,0.0,2029
2030,optimista,TYPE_1,1.0543545112805441,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2030
2030,optimista,TYPE_2,1.0543545112805441,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2030
2030,optimista,TYPE_3,1.0543545112805441,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2030
2030,pesimista,TYPE_1,0.9990120258329964,10,3,2,5,20,4195216376.0,55861736.41866182,3684905776.0,55861736.41866182,510310600.0,0.0,3,4195216376.0,55861736.41866182,3684905776.0,55861736.41866182,3,0.0,0.0,2030
2030,pesimista,TYPE_2,0.9990120258329964,10,3,2,5,20,2943488357.3333335,15142476.597782455,2433177757.3333335,15142476.597782455,510310600.0,0.0,3,2943488357.3333335,15142476.597782455,2433177757.3333335,15142476.597782455,3,0.0,0.0,2030
2030,pesimista,TYPE_3,0.9990120258329964,15,3,2,5,25,2049927654.6666667,38099985.10563601,1402422054.6666667,38099985.10563601,647505600.0,0.0,3,2049927654.6666667,38099985.10563601,1402422054.6666667,38099985.10563601,3,0.0,0.0,2030
2030,regular,TYPE_1,1.026488431886469,10,3,2,5,20,4177582292.0,83890688.40966444,3667271692.0,83890688.40966444,510310600.0,0.0,3,4177582292.0,83890688.40966444,3667271692.0,83890688.40966444,3,0.0,0.0,2030
2030,regular,TYPE_2,1.026488431886469,10,3,2,5,20,2916256442.6666665,38700263.59789635,2405945842.6666665,38700263.59789635,510310600.0,0.0,3,2916256442.6666665,38700263.59789635,2405945842.6666665,38700263.59789635,3,0.0,0.0,2030
2030,regular,TYPE_3,1.026488431886469,15,3,2,5,25,2048094897.3333333,37254796.89754099,1400589297.3333333,37254796.89754099,647505600.0,0.0,3,2048094897.3333333,37254796.89754099,1400589297.3333333,37254796.89754099,3,0.0,0.0,2030
